127.0.0.1 - - [16/Sep/2024:21:05:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:33 +0530] "GET /ServletCookie/RegisterServlet?name=reg&email=gfgs%40mail.vom&mobile=4653656&password=fgdsfgsf HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:35 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:41 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:48 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:48 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:48 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:48 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:50 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:51 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:52 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:41:07 +0530] "GET /ServletCookie/RegisterServlet?name=Nisha&email=nisha%40mail.com&mobile=34545&password=nisha123 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:42:08 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 26
